Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ÉRÉÅÉìÉg
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-25,8,25,0.3,0.5,0,0
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-35,8,15,0.3,0.5,0,1
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-40,8,-24,0.3,0.5,0,2
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,32,8,-8,0.3,0.5,0,3
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-16,8,-24,0.3,0.5,0,4
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,10,8,20,0.3,0.5,0,5
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-16,8,20,0.3,0.5,0,6
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,10,8,20,0.3,0.5,0,7
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-18,8,35,0.3,0.5,0,8
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,12,8,32,0.3,0.5,0,9
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-30,8,28,0.3,0.5,0,10
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-11,8,38,0.3,0.5,0,11
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-16,8,-14,0.3,0.5,0,12
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-35,8,14,0.3,0.5,0,13
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-36,8,33,0.3,0.5,0,14
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-36,8,23,0.3,0.5,0,15
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-20,8,-20,0.3,0.5,0,16
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-35,8,-16,0.3,0.5,0,17
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,30,8,-12,0.3,0.5,0,18
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,22,8,14,0.3,0.5,0,19
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,36,8,13,0.3,0.5,0,20
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,20,8,-10,0.3,0.5,0,21
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-38,8,18,0.3,0.5,0,22
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-38,8,18,0.3,0.5,0,23
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-38,8,18,0.3,0.5,0,24
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-38,8,18,0.3,0.5,0,25
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-38,8,12,0.3,0.5,0,26
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-38,8,12,0.3,0.5,0,27
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-18,8,12,0.3,0.5,0,28
PARALLEL,1,1,1,1.06,1.06,1.06,1.8,1.8,1.8,1,-18,8,12,0.3,0.5,0,29
