ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,2,0.7,1
1,6,1,2,0.7,1
2,7,1,2,0.7,1
3,5,1,2,0.7,1
4,8,1,2,0.7,1
5,6,1,2,0.7,1
6,5,1,2,0.7,1
7,2,1,2,0.7,1
8,2,1,2,0.7,1
9,1,1,2,0.7,1
10,1,1,2,0.7,1
11,1,1,2,0.7,1
12,0,1,2,0.7,1
13,1,1,2,0.7,1
14,0,1,2,0.7,1
15,1,1,2,0.7,1
16,0,1,2,0.7,1
17,5,1,2,0.7,1
18,1,1,2,0.7,1
19,2,1,2,0.7,1
20,2,1,2,0.7,1
21,2,1,2,0.7,1
22,1,1,2,0.7,1
23,2,1,2,0.7,1
24,3,1,2,0.7,1
25,4,1,2,0.7,1
26,2,1,2,0.7,1
27,4,1,2,0.7,1
28,2,1,2,0.7,1
29,2,1,2,0.7,1
30,1,1,2,0.7,1
31,1,1,2,0.7,1
32,3,1,2,0.7,1
33,2,1,2,0.7,1
34,7,1,2,0.7,1
35,2,1,2,0.7,1
36,1,1,2,0.7,1
37,5,2,2,0.7,1
38,1,1,2,0.7,1
39,1,1,2,0.7,1
40,3,1,2,0.7,1
41,2,1,2,0.7,1
42,1,1,2,0.7,1
43,5,3,2,0.7,1
44,5,1,2,0.7,1
45,1,1,2,0.7,1
46,5,1,2,0.7,1
47,1,1,2,0.7,1
48,1,1,2,0.7,1
49,2,1,2,0.7,1
50,1,1,2,0.7,1
51,1,1,2,0.7,1
52,2,1,2,0.7,1
53,3,1,2,0.7,1
54,2,1,2,0.7,1
55,2,1,2,0.7,1
56,1,1,2,0.7,1
57,2,1,2,0.7,1
58,2,1,2,0.7,1
59,3,1,2,0.7,1
60,3,1,2,0.7,1
61,1,1,2,0.7,1
62,2,1,2,0.7,1
63,3,1,2,0.7,1
64,3,1,2,0.7,1
65,1,1,2,0.7,1
66,2,1,2,0.7,1
67,3,1,2,0.7,1
68,2,1,2,0.7,1
69,3,1,2,0.7,1
70,1,1,2,0.7,1
71,2,1,2,0.7,1
72,1,1,2,0.7,1
73,4,1,2,0.7,1
74,2,1,2,0.7,1
75,2,1,2,0.7,1
76,1,1,2,0.7,1
77,1,1,2,0.7,1
78,3,1,2,0.7,1
79,2,1,2,0.7,1
80,3,1,2,0.7,1
81,2,1,2,0.7,1
82,1,1,2,0.7,1
83,1,1,2,0.7,1
84,2,1,2,0.7,1
85,2,1,2,0.7,1
86,2,1,2,0.7,1
87,4,1,2,0.7,1
88,2,1,2,0.7,1
89,3,2,2,0.7,1
90,1,1,2,0.7,1
91,1,1,2,0.7,1
92,2,1,2,0.7,1
93,2,1,2,0.7,1
94,4,2,2,0.7,1
95,1,1,2,0.7,1
96,4,3,2,0.7,1
97,3,1,2,0.7,1
98,2,1,2,0.7,1
99,2,1,2,0.7,1
100,3,1,2,0.7,1
101,1,1,2,0.7,1
102,7,2,2,0.4,1
103,3,1,2,0.7,1
104,1,1,2,0.7,1
105,2,1,2,0.7,1
106,4,2,2,0.7,1
107,1,1,2,0.7,1
108,1,1,2,0.7,1
109,2,1,2,0.7,1
110,4,2,2,0.7,1
111,3,2,2,0.7,1
112,5,2,2,0.7,1
113,3,1,2,0.7,1
114,2,1,2,0.7,1
115,2,1,2,0.7,1
116,3,1,2,0.7,1
117,1,1,2,0.7,1
118,7,2,2,0.4,1
119,2,0,2,0,1
120,2,0,2,0,1
121,2,0,2,0,1
122,2,0,2,0,1
123,2,0,2,0,1
124,2,0,2,0,1
125,2,0,2,0,1
126,2,0,2,0,1
127,2,0,2,0,1
128,2,0,2,0,1
129,2,0,2,0,1
130,2,0,2,0,1
131,2,0,2,0,1
132,2,0,2,0,1
133,2,0,2,0,1
134,2,0,2,0,1
135,2,0,2,0,1
136,2,0,2,0,1
137,2,0,2,0,1
138,2,0,2,0,1
139,2,0,2,0,1
140,2,0,2,0,1
141,2,0,2,0,1
142,2,0,2,0,1
143,2,0,2,0,1
144,2,0,2,0,1
145,2,0,2,0,1
146,2,0,2,0,1
147,2,0,2,0,1
148,2,0,2,0,1
149,2,0,2,0,1
150,2,0,2,0,1
151,2,0,2,0,1
152,2,0,2,0,1
153,2,0,2,0,1
154,2,0,2,0,1
155,2,0,2,0,1
156,2,0,2,0,1
157,2,0,2,0,1
158,2,0,2,0,1
159,2,0,2,0,1
160,2,0,2,0,1
161,2,0,2,0,1
162,2,0,2,0,1
163,2,0,2,0,1
