ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,0,0,0
1,7,1,4,0.4,1
2,2,1,4,0.4,1
3,1,1,4,1,1
4,2,1,4,0.4,1
5,1,1,4,1,1
6,1,1,4,0.4,1
7,2,1,4,0.4,1
8,7,3,4,0.4,1
9,2,1,4,0.4,1
10,2,1,4,0.4,1
11,8,2,4,0.4,1
12,1,1,4,1,1
13,4,1,4,0.4,1
14,1,1,4,1,1
15,2,1,4,0.4,1
16,1,1,4,0.5,1
17,2,1,4,0.4,1
18,1,1,4,1,1
19,4,2,4,0.4,1
20,4,3,4,0.4,1
21,2,1,4,0.4,1
22,2,1,4,0.4,1
23,2,1,4,0.5,1
24,11,1,4,0.4,1
25,1,1,4,0.5,1
26,1,1,4,1,1
27,2,1,4,0.8,1
28,2,1,4,0.4,1
29,3,1,4,0.4,1
30,2,1,4,0.6,1
31,2,1,4,1,1
32,1,1,4,0.4,1
33,2,1,4,0.4,1
34,2,1,4,0.8,1
35,3,1,4,0.4,1
36,1,1,4,0.5,1
37,2,1,4,0.4,1
38,1,1,4,1,1
39,2,1,4,0.4,1
40,5,1,4,0.4,1
41,2,1,4,0.4,1
42,1,1,4,0.5,1
43,5,2,4,0.4,1
44,3,1,4,0.4,1
45,1,1,4,1,1
46,3,1,4,0.4,1
47,1,1,4,1,1
48,3,1,4,0.4,1
49,1,1,4,1,1
50,4,1,4,0.4,1
51,3,1,4,0.4,1
52,2,1,4,0.6,1
53,3,1,4,0.4,1
54,2,1,4,0.5,1
55,3,1,4,0.4,1
56,1,1,4,1,1
57,2,1,4,0.5,1
58,2,1,4,1,1
59,1,1,4,0.4,1
60,5,2,4,0.6,1
61,4,1,4,0.4,1
62,2,1,4,0.4,1
63,7,1,4,0.4,1
64,1,1,4,0.4,1
65,1,1,4,0.5,1
66,2,1,4,0.5,1
67,3,1,4,0.4,1
68,3,1,4,0.4,1
69,2,1,4,0.4,1
70,2,1,4,0.4,1
71,1,1,4,1,1
72,3,2,4,0.4,1
73,1,1,4,1,1
74,2,1,4,0.4,1
75,4,1,4,0.4,1
76,4,2,4,0.4,1
77,7,1,4,0.4,1
78,1,1,4,1,1
79,1,1,4,1,1
80,3,1,4,0.4,1
81,1,1,4,1,1
82,1,1,4,0.4,1
83,3,1,4,0.4,1
84,2,1,4,0.5,1
85,3,1,4,0.4,1
86,1,1,4,0.4,1
87,1,1,4,1,1
88,1,1,4,0.4,1
89,1,1,4,0.4,1
90,3,1,4,0.4,1
91,1,1,4,1,1
92,1,1,4,1,1
93,3,1,4,0.4,1
94,5,1,4,0.4,1
