Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ÉRÉÅÉìÉg
PARALLEL,0.3,0.1,0.4,0.3,0.3,0.4,0.8,0.6,0.9,1,200,30,15,0.35,0.45,1,0
PARALLEL,,,,,,,0.8,0.6,0.9,1,,,,,,,1
PARALLEL,,,,,,,0.8,0.6,0.9,1,85,-26,-52,0.45,0.6,1,2
PARALLEL,,,,,,,0.8,0.6,0.9,1,,,,0.45,0.6,1,3
PARALLEL,,,,,,,0.8,0.6,0.9,1,85,-26,-52,0.45,0.6,1,4
PARALLEL,,,,,,,0.8,0.6,0.9,1,,,,0.5,0.7,1,5
PARALLEL,,,,,,,0.8,0.6,0.9,1,185,40,-200,0.45,0.6,1,6
PARALLEL,,,,,,,0.8,0.6,0.9,1,,,,,,,7
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,200,30,95,0.25,0.45,0.8,8
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,-50,40,200,0.25,0.45,0.8,9
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,170,40,-138,0.25,0.45,0.8,10
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,-20,40,200,0.25,0.45,0.8,11
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,200,12,100,0.28,0.45,0.8,12
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,120,-10,200,0.25,0.45,0.8,13
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,,,,0.25,0.45,0.8,14
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,200,20,30,0.25,0.45,0.8,15
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,,,,0.25,0.45,0.8,16
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,200,20,-53,0.25,0.45,0.8,17
PARALLEL,0.7,0.6,0.7,0.96,0.8,0.96,1.4,1.2,1.4,1,30,20,8,0.25,0.45,0.8,18
