ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,0,0,0
1,40,1,4,0,1
2,13,1,4,0,1
3,30,1,4,0,1
4,4,2,4,0.4,1
5,16,1,4,0,1
6,7,10,10,0.4,1
7,3,6,6,0.4,1
8,20,8,8,0.4,1
9,61,1,4,0,1
10,2,2,4,0.4,1
11,6,6,8,0.4,1
12,2,2,4,0.4,1
13,4,6,8,0.4,1
14,2,2,4,0.4,1
15,44,3,4,0,1
16,2,2,4,0.4,1
17,6,10,40,0.3,1
18,2,2,4,0.4,1
19,12,6,4,0.4,1
20,2,2,4,0.4,1
21,18,14,8,0.4,1
22,2,2,4,0.4,1
23,17,10,10,0.4,1
24,1,2,4,0.4,1
25,17,1,4,0,1
26,1,2,4,0.4,1
27,17,10,16,0.4,1
28,2,2,4,0.4,1
29,2,2,4,0.4,1
30,7,16,40,0.3,1
31,2,2,4,0.4,1
32,6,6,12,0.4,1
33,2,2,4,0.4,1
34,3,10,40,0.3,1
35,32,3,4,0,1
36,2,8,10,0.4,1
37,3,8,12,0.4,1
38,3,8,12,0.4,1
39,1,8,10,0.4,1
40,4,10,40,0.3,1
41,1,10,40,0.3,1
42,6,10,40,0.3,1
43,2,2,4,0.4,1
44,1,6,8,0.4,1
45,20,10,10,0.4,1
46,2,2,4,0.4,1
47,3,10,10,0.4,1
48,4,4,6,0.4,1
49,4,6,8,0.4,1
50,15,6,4,0,1
51,4,10,40,0.3,1
52,1,1,4,0.4,1
53,30,3,4,0.4,1
54,2,1,4,0.4,1
55,7,2,4,0.4,1
56,3,1,4,0.4,1
57,2,1,4,0.4,1
58,4,1,4,0.4,1
59,2,1,4,0.4,1
60,8,1,4,0.4,1
61,3,1,4,0.4,1
62,2,1,4,0.4,1
63,4,1,4,0.4,1
64,2,1,4,0.4,1
65,3,1,4,0.4,1
66,2,1,4,0.4,1
67,3,1,4,0.4,1
68,2,1,4,0.4,1
69,4,1,4,0.4,1
70,4,1,4,0.4,1
71,2,1,4,0.4,1
72,2,1,4,0.4,1
73,3,1,4,0.4,1
74,2,1,4,0.4,1
75,7,1,4,0.4,1
76,2,1,4,0.4,1
77,31,1,4,0.4,1
78,7,1,4,0.4,1
79,3,1,4,0.4,1
80,4,1,4,0.4,1
81,25,15,4,0.4,1
82,39,1,4,0.4,1
83,6,2,4,0.4,1
84,3,1,4,0.4,1
85,2,1,4,0.4,1
86,4,1,4,0.4,1
87,2,1,4,0.4,1
88,8,1,4,0.4,1
89,3,1,4,0.4,1
90,2,1,4,0.4,1
91,4,1,4,0.4,1
92,2,1,4,0.4,1
93,3,1,4,0.4,1
94,2,1,4,0.4,1
95,3,1,4,0.4,1
96,2,1,4,0.4,1
97,4,1,4,0.4,1
98,4,1,4,0.4,1
99,2,1,4,0.4,1
100,2,1,4,0.4,1
101,3,1,4,0.4,1
102,2,1,4,0.4,1
103,7,1,4,0.4,1
104,2,1,4,0.4,1
105,31,1,4,0.4,1
106,7,1,4,0.4,1
107,3,1,4,0.4,1
108,4,1,4,0.4,1
