ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,0,0,0
1,1,1,7,1,1
2,3,3,6,0.5,1
3,3,3,10,0.5,1
4,5,5,10,0.5,1
5,3,3,10,0.5,1
6,10,10,10,0.6,1
7,2,2,13,1,1
8,3,3,15,0.7,1
9,3,3,10,0.5,1
10,3,5,5,0.3,1
11,3,4,7,0.8,1
12,5,5,10,0.7,1
13,2,2,20,0.7,1
14,1,1,7,0.7,1
15,6,6,10,0.5,1
16,5,5,10,0.5,1
17,6,6,10,0.5,1
18,5,4,10,0.5,1
19,2,2,10,1,1
20,3,3,15,0.8,1
21,1.5,1,10,0.7,1
22,6,6,10,0.5,1
23,4,4,5,0.5,1
24,6,6,10,0.6,1
25,6,6,10,0.6,1
26,4,5,10,0.6,1
27,4,4,10,0.7,1
28,5,6,10,0.5,1
29,4,4,15,0.8,1
30,12,6,10,1,1
31,5,5,10,0.7,1
32,3,3,20,1,1
33,6,6,15,0.5,1
34,6,6,10,0.5,1
35,5,6,10,0.5,1
36,5,5,15,0.5,1
37,4,4,10,0.7,1
38,3,3,10,0.8,1
39,7,7,15,0.5,1
40,1,1,1,1,1
41,6,6,13,0.5,1
42,3,3,15,0.5,1
43,6,6,15,0.5,1
44,6,6,15,0.6,1
45,9,4.5,3,1,1
46,6,6,15,0.5,1
47,3,3,10,1,1
48,4,5,15,0.5,1
49,3,3,13,0.5,1
50,13,7,5,1,1
51,4,4,10,0.5,1
52,5,5,12,0.5,1
53,8,2,1,0.5,1
54,6,6,10,0.5,1
55,5,6,10,0.7,1
56,3,3,10,0.7,1
57,6,6,15,0.5,1
58,1,1,10,1,1
59,3,3,10,1,1
60,5,6,10,0.5,1
61,5,6,10,0.5,1
62,11,3,6,0.7,1
63,4,5,10,0.5,1
64,3,3,10,0.8,1
65,6,6,10,0.5,1
66,3.5,4,10,0.6,1
67,6,6,15,0.5,1
68,6,6,10,0.5,1
69,6,6,15,0.5,1
70,5,5,10,0.5,1
71,4,5,15,0.7,1
72,6,6,10,0.5,1
73,3,3,10,0.5,1
74,13,8,5,1,1
75,6,6,10,0.5,1
76,3,3,10,0.5,1
77,13,8,3,1,1
78,25,18,1,1,1
79,0,0,0,0,1
80,5,5,15,0.7,1
81,0,0,0,0,1
82,6,6,12,0.7,1
83,0,0,0,0,1
84,0,0,0,0,1
85,5,6,15,0.7,1
86,6,6,10,0.5,1
87,15,10,5,1,1
88,25,18,1,1,1
89,20,15,10,1,1
90,1,1,10,1,1
91,1,1,15,1,1
92,3,5,5,1,1
93,6,6,15,0.7,1
94,5,6,15,0.5,1
95,8,2,1,1,1
96,5,6,10,0.5,1
97,5,5,7,0.5,1
98,3,3,10,0.7,1
99,5,6,10,0.5,1
100,13,7,6,1,1
101,9,9,20,0.5,1
102,6,6,10,0.5,1
103,6,6,15,0.5,1
104,5,6,10,0.5,1
