ID,ColorR,ColorG,ColorB,BrightpassR,BrightpassG,BrightpassB,Range
0,1,1,1,1,1,1,3
1,0,0,0,1,1,1,1
2,1,3,0,0,0,0,1
3,1,1,1,1,3,0,0
4,0,1,1,1,1,1,1
5,0,0,0,0,1,1,1
6,1,1,3,0,0,0,0
7,1,1,1,1,1,3,0
8,0,0,1,1,1,1,1
9,3,0,0,0,0,1,1
10,1,1,1,3,0,0,0
11,1,1,1,0.5,0.5,1,3
12,0,0,0,1,1,1,0.5
13,1,3,0,0,0,0,1
14,1,1,0.5,1,3,0,0
15,0,1,1,1,1,0.5,1
16,0,0,0,0,1,1,1
17,1,0.5,3,0,0,0,0
18,1,1,0.5,1,0.5,3,0
19,0,0,1,1,1,0.5,0.75
20,3,0,0,0,0,1,1
21,0.5,0.75,1,3,0,0,0
22,1,1,1,0.4,0.7,0.8,3
23,0,0,0,1,1,1,0.8
24,0.3,3,0,0,0,0,1
25,1,0.4,0.7,0.8,3,0,0
26,0,1,1,1,0.8,0.8,0.3
27,0,0,0,0,1,1,1
28,-1,-1,3,0,0,0,0
