ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,2,4,2,0.5,1
1,0,5,2,0.3,1
2,6,7,2,0.3,1
3,0,4,2,0.7,1
4,0,10,10,0.25,1
5,0,2.2,2,0.5,1
6,45,60,2,0.15,1
7,8,9,2,0.35,1
8,3,4,2,0.4,1
9,0,3,1,1,1
10,0,3,1,1,1
11,0,3,1,1,1
12,3,4,2,0.5,1
13,9,10,2,0.35,1
14,2,3,2,0.5,1
15,10,11,2,0.5,1
16,2,3,2,0.5,1
17,0.3,3,2,0.55,1
18,4,5,2,0.4,1
19,7,8,2,0.2,1
20,2,2.5,2,0.5,1
21,3,4,2,0.6,1
22,3,4,2,0.45,1
23,2.5,3.5,2,0.65,1
24,0.5,2.5,2,0.65,1
25,2,2.5,2,0.65,1
26,7,8,2,0.65,1
27,6,7,2,0.5,1
28,3,4.5,2,0.5,1
29,2,3,2,0.5,1
30,3.5,4,2,0.6,1
31,12,13,2,0.1,1
32,12,13,2,0.45,1
33,3,4,2,0.6,1
34,8,9,2,0.5,1
35,1,2,2,0.65,1
36,3,4,2,0.5,1
37,3,4,2,0.55,1
38,3,4,2,0.7,1
39,4,5,2,0.5,1
40,4,5,2,0.55,1
41,5,6,2,0.55,1
42,7,8,2,0.2,1
43,30,11.5,2,0.65,1
44,0,2,2,0.7,1
45,1,2,2,0.8,1
46,1,2,2,0.8,1
47,2,3,2,0.8,1
48,2,2,6,0.8,1
49,0,3,2,1,1
50,0,2,2,1,1
51,2,3,2,0.8,1
52,5,1,0.1,0.7,1
53,1,2,2,0.75,1
54,7,8,2,0.65,1
55,6,6.5,2,0.4,1
56,9,10,2,0.1,1
57,6,7,2,0.55,1
58,3,4,2,0.75,1
59,1.5,2,2,0.65,1
60,4,5,2,0.45,1
61,2,3,2,0.55,1
62,4,5,2,0.5,1
63,5,6,2,0.4,1
64,6,7,2,0.7,1
65,6,7,2,0.75,1
66,6.5,7.5,2,0.6,1
67,2,3,2,0.65,1
68,9,10,2,0.3,1
69,3,4,2,0.5,1
70,3,4,2,0.6,1
71,2.5,3.5,2,0.55,1
72,6,7,2,0.45,1
73,4,5,2,0.6,1
74,6,7,2,0.6,1
75,2,3,2,0.65,1
76,2,3,2,0.3,1
77,2,3,2,0.65,1
78,2,3,2,0.65,1
79,2,3,2,0.2,1
80,2,3,2,0.4,1
81,2,3,2,0.65,1
82,4,5,2,0.64,1
83,2,0,2,1,1
84,2,0,2,1,1
85,2,3,2,0.65,1
86,9,10,2,0.55,1
87,4,5,2,0.5,1
88,1,2,2,1,1
89,6,7,2,0.55,1
90,0,2,2,0.2,1
91,4.5,1,2,0.75,1
