ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,0,0,0
1,4,2,12,0.4,1
2,1,1,1,1,1
3,1,1,1,1,1
4,2,2,6,1,1
5,2,1,1.5,1,1
6,1,1,0.1,1,1
7,8,4,6,1,1
8,2,1,2,1,1
9,1,1,1,1,1
10,1,1,1,1,1
11,1,1.5,2,1,1
12,7,2,2,1,1
13,0.5,1,1,1,1
14,1,1,1,1,1
15,1,1,1,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,2,1,1
19,4,2,12,1,1
20,1,1,1,1,1
21,1,1,2,1,1
22,1,1,1,1,1
23,4,1,1,1,1
24,0.5,1,1,1,1
25,1,1,1,1,1
26,3,1,2,1,1
27,1,2,2,1,1
28,3,1,4,1,1
29,2,1,4,1,1
30,4,2,6,1,1
31,4,4,6,1,1
32,3,3,4,0.7,1
33,1,1,4,1,1
34,0,1,1,1,1
35,2,2,4,1,1
36,1,1,4,1,1
37,2,1,1.8,1,1
38,0.5,1,1.5,1,1
39,1,2,2,1,1
40,4,1,4,0.4,0
41,4,1,4,0.4,0
42,0,1,2,1,1
43,1,1,4,0.4,1
44,2,1,4,0.4,1
45,2,1,4,0.4,1
46,1,1,4,0.4,1
47,12,2,18,1,1
48,1,1,4,1,1
49,5,1,4,0.4,1
50,4,1,2,1,1
51,1,1,4,0.5,1
52,2,2,15,0.4,1
53,1,1,4,1,1
54,1,1,4,1,1
55,3,4,10,1,1
56,1,2,4,0.5,1
57,0.7,1,4,1,1
58,2,1,4,0.4,1
59,2,1,4,0.4,1
60,7,2,4,0.8,1
61,1,1,4,0.4,1
62,8,2,4,1,1
63,1,1,4,0.4,1
64,4,2,2,1,1
65,7,2,5,0.7,1
66,1,1,6,0.4,1
67,1,1,4,0,1
68,2,1,4,0,1
69,14,1,4,0,1
70,2,1,4,0,1
71,1,1,4,0,1
72,0,1,4,0.4,1
73,2,1,4,0.4,1
74,1,1,4,0.4,1
75,1,1,4,0.4,1
76,1,1,4,0.4,1
77,1,1,4,0.4,1
78,10,10,4,0.4,1
79,3,1,2,0.4,1
80,1,2,4,0.5,1
81,1,1,4,0.4,1
82,0,0,0,0,1
83,3,1,2,0.4,1
84,0,1,4,0.2,1
85,1,2,4,0.5,1
86,1,1,4,0.4,1
87,0,0,0,0,1
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,6,3,4,0.7,1
101,1,2,10,0.7,1
102,1,1,1,0.7,1
103,1,1,2,0.7,1
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,3,4,4,1,1
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,10,4,6,1,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,36,20,20,0.4,1
121,2,10,10,0.4,1
122,0,0,0,0,0
123,0,0,0,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0,0,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
