ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,2,0,2,0,1
1,0,2,2,1,1
2,2,3,2,0.7,1
3,2,3,2,0.4,1
4,2,3,2,0.8,1
5,5,6,2,0.75,1
6,5,6,2,0.4,1
7,0,4,2,1,1
8,5,6,2,0.8,1
9,3,4,2,0.4,1
10,5,6,2,1,1
11,3,4,2,0.6,1
12,5,10,2,0.4,1
13,3,4,2,0.85,1
14,5,6,2,0.6,1
15,5,6,2,0.8,1
16,5,6,2,0.8,1
17,2,3,2,0.7,1
18,7,8,2,0.75,1
19,7,8,2,0.75,1
20,7,8,2,0.75,1
21,7,8,2,0.5,1
22,7,8,2,0.75,1
23,2,3,2,1,1
24,5,6,2,0.4,1
25,3,4,2,0.85,1
26,7,8,2,0.4,1
27,7,8,2,0.55,1
28,7,8,2,0.4,1
29,4,5,2,0.85,1
30,5,10,2,0.45,1
31,5,6,2,0.4,1
32,5,6,2,0.75,1
33,5,6,2,0.6,1
34,5,6,2,0.6,1
35,5,6,2,0.55,1
36,5,6,2,0.6,1
37,5,6,2,0.6,1
38,5,10,2,0.35,1
39,5,6,2,0.6,1
40,5,6,2,0.7,1
41,5,10,2,0.45,1
42,5,6,2,0.7,1
43,5,10,2,0.4,1
44,5,12,2,0.3,1
45,5,6,2,0.55,1
46,5,6,2,0.6,1
47,5,6,2,0.6,1
48,5,10,2,0.3,1
49,5,6,2,0.7,1
50,4,5,2,0.75,1
51,5,10,2,0.4,1
52,5,6,2,0.7,1
53,5,6,2,0.6,1
54,5,6,2,0.6,1
55,5,6,2,0.5,1
56,5,6,2,0.45,1
57,2,2,2,0.1,1
58,5,6,2,0.6,1
59,5,10,2,0.35,1
60,2,2,2,0.1,1
61,0,2,2,0.6,1
62,2,2,2,0.1,1
63,5,6,2,0.5,1
64,5,6,2,0.35,1
65,5,6,2,0.5,1
66,5,6,2,0.45,1
67,5,10,2,0.35,1
68,5,6,2,0.6,1
69,5,10,2,0.35,1
70,1,2,2,1,1
71,5,10,2,0.3,1
72,2,3,2,0.8,1
73,5,10,2,0.35,1
74,5,6,2,0.6,1
75,2,8,2,0.4,1
76,4,5,2,0.4,1
77,3,4,2,0.85,1
78,6,7,2,0.85,1
79,7,8,2,1,1
80,7,8,2,0.85,1
81,5,6,2,0.9,1
82,5,10,2,1,1
