Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ÉRÉÅÉìÉg
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,200,52.639999,200,0.35,0.4,0,0
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,200,52.639999,200,0.35,0.4,0,1
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,200,52.639999,100,0.35,0.4,0,2
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,15,5,3,0.35,0.4,0,3
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,8,5,6,0.35,0.4,0,4
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,,,,0.35,0.4,0,5
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,57.139999,41.379997,2.48,0.35,0.4,0,6
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,17,8,-2,0.35,0.4,0,7
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,20,5,6,0.35,0.4,0,8
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,36.559998,5,6,0.35,0.4,0,9
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,,,,0.35,0.4,0,10
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,6,5,6,0.35,0.4,0,11
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,15,5,6,0.35,0.4,0,12
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,6,5,6,0.35,0.4,0,13
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,,,,0.35,0.4,0,14
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,15,5,6,0.35,0.4,0,15
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,,,,0.35,0.4,0,16
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,10,5,6,0.35,0.4,0,17
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,50,5,6,0.35,0.4,0,18
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,8,5,6,0.35,0.4,0,19
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,15,5,6,0.35,0.4,0,20
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,21.439999,10,7.52,0.35,0.4,0,21
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,10,8,6,0.35,0.4,0,22
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,43.32,17.52,-17.799999,0.35,0.4,0,23
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,10,8,6,0.35,0.4,0,24
PARALLEL,0.8,0.8,0.8,1.14,1.06,1.04,1.6,1.6,1.6,1,3,5,4,0.35,0.4,0,25
