Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ÉRÉÅÉìÉg
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,1,1,0,0.35,0.45,1,0
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,42.860001,40.899998,-200,0.35,0.45,1,1
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,100,40.899998,-200,0.35,0.45,1,2
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,-4.74,17.1,-200,0.35,0.45,1,3
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,,,,0.35,0.45,1,4
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,,,,0.35,0.45,1,5
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,,,,0.35,0.45,1,6
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,,,,0.35,0.45,1,7
PARALLEL,0.2,0.1,0.2,0.8,0.1,0.6,2,1.1,1.8,1,61.919998,17.1,-200,0.35,0.45,1,8
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,23.799999,2.8,114.279999,0.35,0.45,0.6,9
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,200,36.139999,114.279999,0.35,0.45,0.6,10
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,,,,0.35,0.45,0.6,11
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,200,45.66,200,0.35,0.45,0.6,12
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,138,45.66,200,0.35,0.45,0.6,13
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,138,45.66,200,0.35,0.45,0.6,14
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,109.519997,45.66,154.87999,0.35,0.45,0.6,15
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,100,36.139999,114.279999,0.35,0.45,0.6,16
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,,,,0.35,0.45,0.6,17
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,200,45.66,-7.02,0.35,0.45,0.6,18
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,200,45.66,200,0.35,0.45,0.6,19
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,,,,0.35,0.45,0.6,20
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,200,45.66,114.279999,0.35,0.45,0.6,21
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,100,45.66,200,0.35,0.45,0.6,22
PARALLEL,0.5,0.1,0.3,1.4,0.55,0.8,2,1.1,1.8,1,,,,0.35,0.45,0.6,23
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,161.899994,0.35,0.45,0.6,24
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,161.899994,0.35,0.45,0.6,25
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,26
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,27
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,28
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,-28.58,0.35,0.45,0.6,29
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,200,0.35,0.45,0.6,30
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,133.339996,0.35,0.45,0.6,31
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,47.619999,45.66,200,0.35,0.45,0.6,32
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,66.68,0.35,0.45,0.6,33
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,34
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,35
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,36
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,104.759995,45.66,160,0.35,0.45,0.6,37
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,38
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,39
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,40
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,85.720001,45.66,200,0.35,0.45,0.6,41
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,42
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,43
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,44
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,45
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,46
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,47
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,48
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,49
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,50
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,104.759995,45.66,160,0.35,0.45,0.6,51
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,-104.759995,0.35,0.45,0.6,52
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,53
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,54
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,33.34,45.66,200,0.35,0.45,0.6,55
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,56
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,-100,45.66,200,0.35,0.45,0.6,57
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,-28.58,0.35,0.45,0.6,58
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,59
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,60
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,61
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,85.720001,45.66,160,0.35,0.45,0.6,62
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,63
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,64
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,65
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,66
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,67
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,28.58,45.66,200,0.35,0.45,0.6,68
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,69
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,70
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,71
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,72
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,73
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,74
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,75
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,76
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,77
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,78
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,79
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,80
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,81
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,114.279999,45.66,160,0.35,0.45,0.6,82
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,114.279999,45.66,160,0.35,0.45,0.6,83
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,84
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,200,0.35,0.45,0.6,85
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,86
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,87
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,88
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,89
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,200,45.66,160,0.35,0.45,0.6,90
PARALLEL,0.5,0.1,0.3,1.5,0.65,0.9,2,1.1,1.8,1,,,,0.35,0.45,0.6,91
