ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,0,0,0
1,12,8,6,0.1,1
2,3,8,6,0.2,1
3,2,8,6,0.2,1
4,3,8,6,0.2,1
5,5,8,6,0.2,1
6,2,8,6,0.2,1
7,5,8,6,0.2,1
8,4,8,6,0.2,1
9,6,8,6,0.2,1
10,6,8,6,0.2,1
11,6,8,6,0.2,1
12,2,8,6,0.2,1
13,11,8,6,0.2,1
14,3,8,6,0.2,1
15,6,8,6,0.2,1
16,4,8,6,0.2,1
17,18,8,6,0,1
18,4,8,6,0.2,1
19,8,8,6,0.2,1
20,5,8,6,0.2,1
21,8,8,6,0.2,1
22,3,8,6,0.2,1
23,4,8,6,0.2,1
24,3,8,6,0.2,1
25,9,8,6,0.2,1
26,3,8,6,0.2,1
27,7,8,6,0.2,1
28,4,8,6,0.2,1
29,11,8,6,0.1,1
30,3,8,6,0.2,1
31,3,8,6,0.2,1
32,2,8,6,0.2,1
33,2,8,6,0.2,1
34,8,8,6,0.2,1
35,4,8,6,0.2,1
36,6,8,6,0.2,1
37,5,8,6,0.2,1
38,8,8,6,0.2,1
39,3,8,6,0.2,1
40,13,8,6,0,1
41,7,8,6,0.1,1
42,2,8,6,0.1,1
43,24,8,6,0,1
44,3,8,6,0.2,1
45,4,8,6,0.2,1
46,8,8,6,0.2,1
47,3,8,6,0.2,1
48,17,8,6,0,1
49,3,8,6,0.2,1
50,3,8,6,0.2,1
51,14,8,6,0,1
52,3,8,6,0.2,1
53,6,8,6,0.2,1
54,2,8,6,0.2,1
55,6,8,6,0.2,1
56,2,8,6,0.2,1
57,6,8,6,0.2,1
58,3,8,6,0.2,1
59,9,8,6,0.2,1
60,7,8,6,0.2,1
61,3,8,6,0.2,1
62,24,8,6,0,1
63,0,8,6,0,0
64,7,8,6,0.2,1
65,2,8,6,0.2,1
66,5,8,6,0.2,1
67,4,8,6,0.2,1
68,16,8,6,0,1
69,15,8,6,0.2,1
70,4,8,6,0.2,1
71,5,8,6,0.2,1
72,13,8,6,0,1
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0,0,0,0
120,0,0,0,0,0
121,0,0,0,0,0
