Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ÉRÉÅÉìÉg
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,100,80,128.5,0.35,0.45,0.8,0
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,85.720001,46.959999,142.860001,0.35,0.45,0.8,1
PARALLEL,0.52,0.39,0.31,0.86,0.76,0.84,1.3,1,0.64,1,200,9.36,-76.18,0.35,0.45,0.8,2
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,95.239998,-14.94,128.580002,0.35,0.45,0.8,3
PARALLEL,0.4,0.21,0.26,0.79,0.69,0.96,1.3,1,0.64,1,-66.659996,200,123.799995,0.35,0.45,0.8,4
PARALLEL,0.4,0.21,0.26,0.79,0.69,0.96,1.3,1,0.64,1,52.379997,66.659996,123.799995,0.35,0.45,0.8,5
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,-200,200,-142.839996,0.35,0.45,0.8,6
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,200,10,100,0.35,0.45,0.8,7
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,157,57,152.380005,0.25,0.4,0.65,8
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,95,32.5,128.5,0.35,0.45,0.8,9
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,85,5,128.5,0.35,0.45,0.8,10
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,85.720001,71.660004,128.5,0.35,0.45,0.8,11
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,50,10,128.5,0.35,0.45,0.8,12
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,95.239998,30,128.5,0.35,0.45,0.8,13
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,110,70.800003,128.5,0.35,0.45,0.8,14
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,157,57,152.380005,0.25,0.4,0,15
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,170,10,200,0.35,0.45,0.8,16
PARALLEL,0.52,0.39,0.31,0.9,0.8,0.8,1.3,1,0.64,1,200,80,66.599998,0.35,0.45,0.8,17
