Type,AmbientR,AmbientG,AmbientB,DiffuseR,DiffuseG,DiffuseB,SpecularR,SpecularG,SpecularB,SpecularA,PosX,PosY,PosZ,ToneCurveBegin,ToneCurveEnd,ToneCurveBlendRate,ÉRÉÅÉìÉg
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,0
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,1
PARALLEL,,,,,,,,,,,,,,,,,2
PARALLEL,,,,,,,,,,,,,,,,,3
PARALLEL,,,,,,,,,,,,,,,,,4
PARALLEL,,,,,,,,,,,,,,,,,5
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,45,75,30,0.35,0.5,0.4,6
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,7
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,80,55,20,0.35,0.5,0.4,8
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,5,20,20,0.35,0.5,0.4,9
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,50,45,20,0.35,0.5,0.4,10
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,50,30,20,0.35,0.5,0.4,11
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,12
PARALLEL,,,,,,,,,,,,,,,,,13
PARALLEL,,,,,,,,,,,,,,,,,14
PARALLEL,,,,,,,,,,,,,,,,,15
PARALLEL,,,,,,,,,,,,,,,,,16
PARALLEL,,,,,,,,,,,,,,,,,17
PARALLEL,,,,,,,,,,,,,,,,,18
PARALLEL,,,,,,,,,,,,,,,,,19
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,25,0.35,0.5,0.4,20
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,50,30,20,0.35,0.5,0.4,21
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,35,25,20,0.35,0.5,0.4,22
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,23
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,50,0.35,0.5,0.4,24
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,60,50,20,0.35,0.5,0.4,25
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,26
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,45,30,75,0.35,0.5,0.4,27
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,60,0.35,0.5,0.4,28
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,40,20,20,0.35,0.5,0.4,29
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,30,20,50,0.35,0.5,0.4,30
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,31
PARALLEL,,,,,,,,,,,,,,,,,32
PARALLEL,,,,,,,,,,,,,,,,,33
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,30,20,50,0.35,0.5,0.4,34
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,35
PARALLEL,,,,,,,,,,,,,,,,,36
PARALLEL,,,,,,,,,,,,,,,,,37
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,90,45,-20,0.35,0.5,0.4,38
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,39
PARALLEL,,,,,,,,,,,,,,,,,40
PARALLEL,,,,,,,,,,,,,,,,,41
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,50,20,30,0.35,0.5,0.4,42
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,43
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,40,20,20,0.35,0.5,0.4,44
PARALLEL,0.38,0.65,1.53,1.08,0.99,1.06,1.2,1,1.2,1,20,20,20,0.35,0.5,0.4,45
PARALLEL,,,,,,,,,,,,,,,,,46
PARALLEL,,,,,,,,,,,,,,,,,47
PARALLEL,,,,,,,,,,,,,,,,,48
PARALLEL,,,,,,,,,,,,,,,,,49
