ID,Focus,FocusRange,FuzzingRange,Ratio,Quality
0,0,0,0,0,0
1,13,1,4,0.2,1
2,15,1,4,0.2,1
3,2,1,4,1,1
4,2,1,4,0.2,1
5,3,1,4,0.2,1
6,1,1,4,0.2,1
7,3,3,4,0.8,1
8,3,1,4,0.2,1
9,3,1,4,0.2,1
10,0,1,4,1,1
11,3,1,4,0.2,1
12,1,1,4,0.2,1
13,2,1,4,0.6,1
14,1,1,4,0.2,1
15,1,1,4,0.6,1
16,3,1,4,0.2,1
17,0,1,4,1,1
18,1,1,4,0.6,1
19,4,1,4,0.2,1
20,1,1,4,0.6,1
21,3,1,4,0.2,1
22,4,1,4,0.2,1
23,1,1,4,0.2,1
24,6,1,4,0.2,1
25,1,1,4,0.6,1
26,1,1,4,0.6,1
27,3,3,4,0.8,1
28,2,1,4,0.2,1
29,4,1,4,0.2,1
30,1,1,4,0.6,1
31,3,1,4,0.2,1
32,2,1,4,0.2,1
33,4,3,4,0.6,1
34,1,1,4,0.6,1
35,5,1,4,0.2,1
36,2,1,4,0.2,1
37,4,1,4,0.2,1
38,1,1,4,0.6,1
39,3,1,4,0.2,1
40,1,1,4,0.2,1
41,5,1,4,0.2,1
42,1,1,4,0.2,1
43,1,1,4,0.6,1
44,3,1,4,0.2,1
45,2,1,4,0.2,1
46,2,1,4,1,1
47,1,1,4,0.6,1
48,1,1,4,0.6,1
49,3,2,4,0.2,1
50,6,2,4,0.2,1
51,2,1,4,0.2,1
52,1,1,4,0.6,1
53,4,1,4,0.2,1
54,3,1,4,0.2,1
55,1,1,4,0.6,1
56,1,1,4,0.6,1
57,3,1,4,0.2,1
58,1,1,4,0.2,1
59,0,1,4,1,1
60,3,1,4,0.2,1
61,2,1,4,0.2,1
62,4,1,4,0.2,1
63,2,1,4,0.2,1
64,8,1,4,0.2,1
65,1,1,4,0.2,1
66,4,1,4,0.2,1
67,1,1,4,0.6,1
68,4,1,4,0.2,1
69,1,1,4,1,1
70,1,1,4,0.6,1
71,3,1,4,0.2,1
72,1,1,4,0.2,1
73,3,1,4,0.2,1
74,5,1,4,0.2,1
75,6,1,4,0.2,1
76,1,1,4,0.2,1
77,3,1,4,0.2,1
78,3,2,4,0.2,1
79,5,1,4,0.2,1
80,6,1,4,0.2,1
81,1,1,4,0.2,1
82,3,1,4,0.2,1
83,3,2,4,0.6,1
84,3,3,4,0.2,1
85,3,3,4,0.2,1
86,3,2,4,0.6,1
87,2,1,4,0.2,1
88,4,3,4,0.2,1
